imo_code,name,definition,format
IMO0914,"Fuel consumed by Auxiliary Boiler, by fuel type","Fuel consumed by Auxiliary Boiler, measured in metric tons since last reporting.","n..4,1"
IMO0915,"Fuel used by Auxillary Engine, coded",A code representing the type of fuel used for the operation.,n..10
IMO0916,"Fuel consumed by Auxiliary Engine, by fuel type","Fuel consumed by Auxiliary Engine, measured in metric tons since last reporting.","n..4,1"
IMO0917,"Fuel used by Cargo Cooling, coded",A code representing the type of fuel used for the operation.,n..10
IMO0918,"Fuel consumed by Cargo Cooling, by fuel type","Fuel consumed by Cargo Cooling, measured in metric tons since last reporting.","n..4,1"
IMO0919,"Fuel used by Cargo Heating, coded",A code representing the type of fuel used for the operation.,n..10
IMO0920,"Fuel consumed by Cargo Heating, by fuel type","Fuel consumed by Cargo Heating, measured in metric tons since last reporting.","n..4,1"
IMO0921,"Fuel used by Diesel Power Packs, coded",A code representing the type of fuel used for the operation.,n..10
IMO0922,"Fuel consumed by Diesel Power Packs, by fuel type","Fuel consumed by Diesel Power Packs, measured in metric tons since last reporting.","n..4,1"
IMO0923,"Fuel used by Dirty Petroleum Products Cargo Pump, coded",A code representing the type of fuel used for the operation.,n..10
IMO0924,"Fuel consumed by Dirty Petroleum Products Cargo Pump, by fuel type","Fuel consumed by Dirty Petroleum Products Cargo Pump, measured in metric tons since last reporting.","n..4,1"
IMO0925,"Fuel used by Discharge Pump, coded",A code representing the type of fuel used for the operation.,n..10
IMO0926,"Fuel consumed by Discharge Pump, by fuel type","Fuel consumed by Discharge Pump, measured in metric tons since last reporting.","n..4,1"
IMO0927,"Fuel used by DP Operations, coded",A code representing the type of fuel used for the operation.,n..10
IMO0928,"Fuel consumed by DP Operations, by fuel type","Fuel consumed by DP Operations, measured in metric tons since last reporting.","n..4,1"
IMO0929,"Fuel used by Electrical Power Generation, coded",A code representing the type of fuel used for the operation.,n..10
IMO0930,"Fuel consumed by Electrical Power Generation, by fuel type","Fuel consumed by Electrical Power Generation, measured in metric tons since last reporting.","n..4,1"
IMO0931,"Fuel used by Incinerator, coded",A code representing the type of fuel used for the operation.,n..10
IMO0932,"Fuel consumed by Incinerator, by fuel type","Fuel consumed by Incinerator, measured in metric tons since last reporting.","n..4,1"
IMO0933,"Fuel used by Inert gas generators / GCUs, coded",A code representing the type of fuel used for the operation.,n..10
IMO0934,"Fuel consumed by Inert gas generators / GCUs, by fuel type","Fuel consumed by Inert gas generators / GCUs, measured in metric tons since last reporting.","n..4,1"
IMO0935,"Fuel used by Other Fuel Consuming Devices, coded",A code representing the type of fuel used for the operation.,n..10
IMO0936,"Fuel consumed by Other Fuel Consuming Devices, by fuel type","Fuel consumed by Other Fuel Consuming Devices, measured in metric tons since last reporting.","n..4,1"
IMO0937,"Fuel used by Reefers Containers, coded",A code representing the type of fuel used for the operation.,n..10
IMO0938,"Fuel consumed by Reefer Containers, by fuel type","Fuel consumed by Reefer Containers, measured in metric tons since last reporting.","n..4,1"
IMO0939,"Fuel used by Shuttle Tanker Operations, coded",A code representing the type of fuel used for the operation.,n..10
IMO0940,"Fuel consumed by Shuttle Tanker Operations, by fuel type","Fuel consumed by Shuttle Tanker Operations, measured in metric tons since last reporting.","n..4,1"
IMO0941,"Fuel used by STS Operations, coded",A code representing the type of fuel used for the operation.,n..10
IMO0942,"Fuel consumed by STS Operations, by fuel type","Fuel consumed by STS Operations, measured in metric tons since last reporting.","n..4,1"
IMO0943,"Nearest airport by residence, coded","A code representing the nearest regional airport to the primary place of residence of the seafarer, measured by the shortest travel distance or time via commonly used transportation routes (e.g., road or rail).",an..3
IMO0944,"International airport by country of residence, coded","A code representing the nearest international airport to the primary place of residence of the seafarer, measured by the shortest travel distance or time via commonly used transportation routes (e.g., road or rail).",an..3
IMO0945,Person certificate issuing entity contact mobile number,"The mobile telephone number for the contact, who is entitled to sign for the issuing entity.",an..50
IMO0946,"Person civil status, coded",A code representing the [actual] legal relationship status of the person.,an..3
IMO0947,Person natural eye colour,"The naturally occurring colour of a person's irises, as observed without the influence of cosmetic lenses or medical conditions.",an..35
IMO0948,Person natural hair colour,The colour of the person's hair.,an..35
IMO0949,Person height,The vertical measurement of a person from the base of the feet to the top of the head. Measured in cm.,n..3
IMO0950,Person weight,The average weight of the person. Measured in kilograms (kg).,n..3
IMO0951,Person shoe size,"The size of footwear that properly fits the person’s feet. Measured on standardized sizing systems such as EU, US, or UK shoe size scales.",n..3
IMO0952,Person shoe sizing system,The standardized sizing systems for shoe size scales.,an..35
IMO0953,"Person blood type, coded",The code representing the 8 most common blood types.,a3
IMO0954,"Person preferred spoken language, coded",A code representing the referenced person's preferred spoken language.,a2
IMO0955,"Person preferred reading language, coded",A code representing the referenced person's preferred reading language.,a2
IMO0956,"Person preferred written language, coded",A code representing the referenced person's preferred written language.,a2
IMO0957,"Person other spoken language, coded",A code representing another language spoken by the referenced person.,a2
IMO0958,"Person other read language, coded",A code representing another language read by the referenced person.,a2
IMO0959,"Person other written language, coded",A code representing another language written by the referenced person.,a2
IMO0960,Person national identifier,"The unique, government-issued identifier assigned to a person by their country of citizenship (information needed if available and relevant).",an..70
IMO0961,Person taxpayer identifier,The unique identifier assigned to a person by the tax authority of their country of citizenship for the purpose of tax reporting and compliance. (information needed if available and relevant).,an..70
IMO0962,Person health identifier,The unique identifier assigned to a person for accessing national or private healthcare services. (information needed if available and relevant).,an..70
IMO0963,Person digital signature certificate,"The cryptographic representation of a person's identity used to authenticate documents, transactions, or communications in digital systems.",Binary object
IMO0964,Person profile picture,A passport type photo of the seafarer holder of the certificate.,Binary object
IMO0965,Person SID number,The number assigned to the “Seafarer Identity Document” (SID) as issued by the flag State.,an..70
IMO0966,Person SID issue date,The date of issue of the “Seafarer Identity Document” (SID).,an..35
IMO0967,Person SID expiry date,The date of expiry of the “Seafarer Identity Document” (SID).,an..35
IMO0968,Person Seafarer Record Book number,The number assigned to the person’s “Seafarer Record Book” as issued by the flag State.,an..70
IMO0969,Person Seafarer Record Book issue date,The date of issue of the person’s “Seafarer Record Book”.,an..35
IMO0970,Person Seafarer Record Book expiry date,The date of expiry of the person’s “Seafarer Record Book”.,an..35
IMO0971,Person flag State ID identifier,"The identifier of the person as defined by the country providing e.g. the “Seafarer record book”, for internal use.",an..35
IMO0972,Person digital wallet identifier,The identifier assigned to the person’s digital wallet.,an..35
IMO0973,Person certificate authorizing entity mobile number,The mobile telephone number for the authorizing entity.,an..50
IMO0974,Person certificate accreditation body mobile number,The mobile telephone number of the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO0975,Person certificate verification entity mobile number,The mobile telephone number for the verification entity.,an..50
IMO0976,Ship manager mobile number,The mobile telephone number for the ship manager.,an..50
IMO0977,Person present address street and number,The street and number of the person’s present address.,an..256
IMO0978,Person present address postcode,An alphanumerical code representing the postal area of the person’s present address.,an..9
IMO0979,Person present address city,The city of the person’s present address.,an..35
IMO0980,Person present address country code,A code representing the country address of the person’s present address.,a2
IMO0981,Serial number Identifier,"A unique number assigned by the dispatching office of exchange to the CN37 letter bill, used to identify that document within the sequence of dispatches from the same office.",an..17
IMO0982,Person alternative email,The alternative email address for the person.,an..50
IMO0983,Office of origin identifier,"The code identifying the originating postal office of an individual mail receptacle, listed in the CN37.",an..35
IMO0984,Name of office of origin,The name of the office of origin issuing the delivery bill .,an..35
IMO0985,Person alternative landline number,The alternative landline telephone number for the person.,an..50
IMO0986,Person alternative mobile number,The alternative mobile number for the person.,an..50
IMO0987,Person emergency contact family name,The family name of the person’s emergency contact.,an..70
IMO0988,Person emergency contact given name,The given name of the person’s emergency contact.,an..70
IMO0989,Person emergency contact home address postcode,An alphanumerical code representing the postal area of the person’s emergency contact home address.,an..9
IMO0990,Person emergency contact home address city,The city of the person’s emergency contact home address.,an..35
IMO0991,Person emergency contact home address country code,A code representing the country of the person’s emergency contact home address.,a2
IMO0992,Person emergency contact present address street and number,The street and number of the person’s emergency contact present address.,an..256
IMO0993,Person emergency contact email,The email address for the person’s emergency contact.,an..50
IMO0994,Person emergency contact landline number,The landline telephone number for the person’s emergency contact.,an..50
IMO0995,Person emergency contact mobile number,The mobile number for the person’s emergency contact.,an..50
IMO0996,Person next of kin family name,The family name of the person’s next of kin.,an..70
IMO0997,Person next of kin given name,The given name of the person’s next of kin.,an..70
IMO0998,Person next of kin home address postcode,An alphanumerical code representing the postal area of the person’s next of kin home address.,an..9
IMO0999,Person next of kin home address city,The city of the person’s next of kin home address.,an..35
IMO1000,Person next of kin home address country code,A code representing the country of the person’s next of kin home address.,a2
IMO1001,Person next of kin present address street and number,The street and number of the person’s next of kin present address.,an..256
IMO1002,Person next of kin email,The email address for the person’s next of kin.,an..50
IMO1003,Person next of kin landline number,The landline telephone number for the person’s next of kin.,an..50
IMO1004,Person next of kin mobile number,The mobile number for the person’s next of kin.,an..50
IMO1005,"Person certificate type, coded",A code representing the type of person certificate.,an..3
IMO1006,Person certificate issue date,The date the person certificate was issued.,an..35
IMO1007,"Person certificate category, coded",The person certificate categories defined by its the status.,a..6
IMO1008,"Person certificate type, name",The name of the type of the person certificate.,an..256
IMO1009,Person certificate title,Title of the certificate that indicates the seafarer's proficiency and is related to the STCW regulation under which the certificate is issued.,an..512
IMO1010,Person certificate description,A description of the person certificate.,an..256
IMO1011,"Person certificate status, coded",A code representing the status of the person certificate.,a1
IMO1012,Person certificate identifier,"The identifier of the person certificate, defined by the issuing administration/organization.",an..35
IMO1013,STCW reference,Reference in the STCW Convention/Code under which the certificate is issued.,an..150
IMO1014,Person certificate sequence number,A sequence number assigned to the active person certificate if there is more than one person certificate of the same type.,n..5
IMO1016,Person certificate revalidation date,The date the person certificate was revalidated.,an..35
IMO1017,"Person certificate function, coded",The function which the seafarer is qualified to perform. Defined in the STCW Code.,an..6
IMO1018,Person certificate level of responsibility,"The levels of responsibility at which the seafarer is qualified to perform each of the functions. Defined in the STCW Code, linked with the functions.",an..256
IMO1019,Person certificate function limitations,The limitations applying to the functions (if any). The limitations are linked with the functions.,an..256
IMO1020,"Person certificate capacities, coded",A code representing the capacity(ies) in which the holder may serve as specified in the applicable,an..6
IMO1021,Person certificate capacity limitations,The limitations applying to the capacity(ies) (if any). The limitations are linked with the capacities.,an..256
IMO1022,Person certificates special remarks,"Remarks other than the limitations that need to be inserted in the certificate, if relevant.",an..256
IMO1023,Person certificate issuing entity name,"The name of the issuing entity, namely the administration/training institute that issued the person certificate.",an..70
IMO1024,"Person certificate issuing entity, coded","A code representing the issuing entity, namely the administration/training institute that issued the person certificate.",a3
IMO1025,Person certificate issuing entity digital identifier,"The digital identifier of the issuing entity, namely the administration or training institute that issued the person certificate.",an..35
IMO1026,Person certificate identifier QR,A QR code linking to the person certificate at the issuing organization.,Binary object
IMO1027,Person certificate download,A URL to pdf version (for download) of the person certificate at the issuing organization.,an..2048
IMO1028,"Person certificate authorizing entity, coded","The code representing the type of authorizing entity, flag state or other maritime administration, that issued the person certificate or authorized an entity on their behalf.",a3
IMO1029,Person certificate authorizing entity name,The name of the authorizing entity  that issued the person certificate or authorized entity on their behalf.,an..70
IMO1030,Person certificate authorizing entity digital identifier,The digital identifier of the authorizing entity that issued the person certificate or authorized an entity on their behalf.,an..35
IMO1032,"Vaccine type, coded",The code representing the type of vaccination.,a3
IMO1033,"Vaccine type, name",The name of the vaccine.,an..256
IMO1034,Vaccine manufacturer name,The name of the company that produced the vaccine.,an..256
IMO1035,Vaccine lot number,A unique identification code assigned to a specific batch of vaccine.,an..50
IMO1036,Office of destination identifier,"The code identifying the destination postal office of an individual mail receptacle, listed in the CN37.",an..35
IMO1037,Name of office of destination,The name of the office of destination receiving the delivery bill.,an..35
IMO1038,Healthcare provider’s name,"The name of the healthcare centre (or similar), where the vaccine was given.",an..256
IMO1039,Healthcare provider’s country code,A code representing the country of where the vaccination given.,a2
IMO1040,Healthcare provider’s digital identifier,The digital identifier of the healthcare provider.,an..35
IMO1041,"Person certificate verifying authority, coded",The code representing the verifying authority that inspected and verified the person certificate.,a3
IMO1042,Person certificate verifying authority name,The name of the verifying authority that inspected and verified the person certificate.,an..70
IMO1043,Person certificate verifying authority digital identifier,The digital identifier of the verifying authority that inspected and verified the person certificate.,an..35
IMO1044,Person certificate verifying authority country code,The code representing country of the authority that inspected and verified the person certificate.,a2
IMO1045,Person certificate duration,"The duration during which the person certificate is accessible for digital verification, expressed in hours.",an..3
IMO1046,"Time of seagoing service onboard, total",The cumulative number of calendar days an individual has spent on board a seagoing vessel in a professional capacity. Measured in days.,n..5
IMO1047,"Persons seafarer record book flag State issuer, coded",A code representing the national maritime authority that is responsible for issuing and endorsing the official Seafarer Record Book.,a2
IMO1048,Date of sign on,Date the seafarer signs on the ship.,an..35
IMO1049,Date of sign off,Date the seafarer signs off the ship.,an..35
IMO1050,Ship digital identifier,The digital identifier of the ship.,an..35
IMO1051,Ship Engine Power,"The ship engine power refers to the maximum continuous rated output of ships main propulsion engine(s), measured in kilowatts (kW).",n..14
IMO1052,Masters digital Ship Stamp,The masters digital ship stamp.,Binary object
IMO1053,Masters digital signature,"The cryptographic representation of the master’s identity used to authenticate documents, transactions, or communications in digital systems.",Binary object
IMO1054,"Time of seagoing service onboard, per voyage","The cumulative number of calendar days an individual has spent on board a seagoing vessel in a professional capacity per voyage, measured in days.",n..5
IMO1055,"Mode of transport current leg , coded",The mode of the currently described transport leg.,an..3
IMO1056,"Voyage description, coded",A code which describes the type of voyage.,an..35
IMO1057,Date of voyage start,Date where the ship voyage starts.,an..35
IMO1058,Date of voyage end,Date where the ship voyage ends.,an..35
IMO1059,Ship company digital identifier,The digital identifier of the ship company.,an..35
IMO1060,Seafarer contract start date,Date the person signs on the seafarer employment agreement.,an..35
IMO1061,Seafarer contract end date,Date the person signs on the seafarer employment agreement.,an..35
IMO1062,Inspection authority name,The name of the authority who verifies the certificate during an inspection.,an..70
IMO1063,"Inspection authority, coded",The code representing the type of the authority who verifies the certificate during an inspection.,a3
IMO1064,Inspection authority digital identifier,The digital identifier of the verifying authority who verifies the certificate during an inspection.,an..35
IMO1065,Inspection authority address postcode,An alphanumerical code representing the postal area of the inspection authority who verifies the certificate during an inspection.,an..9
IMO1066,Inspection authority address city,The city of the inspection authority who verifies the certificate during an inspection.,an..35
IMO1067,Inspection authority address country code,A code representing the country of the inspection authority who verifies the certificate during an inspection.,a2
IMO1068,Inspection authority address street and number,The street and number of the inspection authority who verifies the certificate during an inspection.,an..256
IMO1069,Inspection authority contact family name,The family name of the inspection authority contact who verifies the certificate during an inspection.,an..70
IMO1070,Inspection authority contact given name,The given name of the inspection authority contact who verifies the certificate during an inspection.,an..70
IMO1071,Inspection authority contact digital identifier,[The digital identifier of the contact at the inspection authority who verified the person certificate during an inspection.].,an..35
IMO1072,Inspection authority contact email,The email address of the inspection authority contact who verifies the certificate during an inspection.,an..50
IMO1073,Inspection authority contact landline number,The landline telephone number of the inspection authority contact who verifies the certificate during an inspection.,an..50
IMO1074,Inspection authority contact mobile number,The mobile number of the inspection authority contact who verifies the certificate during an inspection.,an..50
IMO1075,Person certificate issuing entity address postcode,"An alphanumerical code representing the postal area of address of the issuing entity, namely the administration/training institute.",an..9
IMO1076,Person certificate issuing entity address city,"The city address of the issuing entity, namely the administration/training institute.",an..35
IMO1077,Person certificate issuing entity country code,The code representing the country where the issuing entity of the person is located,a2
IMO1078,Person certificate issuing entity address street and number,"The street and number of address of the issuing entity, namely the administration/training institute.",an..256
IMO1079,Person certificate issuing entity contact family name,"The family name of the contact/[officer], entitled to sign for the issuing entity contact.",an..70
IMO1080,Person certificate issuing entity contact given name,"The given name of the contact, entitled to sign for the issuing entity.",an..70
IMO1081,Person certificate issuing entity contact title,The title of the contact who is entitled to sign for the issuing entity.,an..150
IMO1082,Person certificate issuing entity contact digital identifier,The digital identifier of the contact who is entitled to sign for the issuing entity.,an..35
IMO1084,Person certificate issuing entity contact email,"The email address for the contact, who is entitled to sign for the issuing entity.",an..50
IMO1085,Person certificate issuing entity contact landline number,"The landline telephone number for the contact, who is entitled to sign for the issuing entity.",an..50
IMO1086,Person certificate authorizing entity address postcode,An alphanumerical code representing the postal area of the authorizing entity that issued the person certificate or authorized an entity on their behalf.,an..9
IMO1087,Person certificate authorizing entity address city,"The city of the authorizing entity address, that issued the person certificate or authorized an entity on their behalf.",an..35
IMO1088,"Person certificate authorizing entity address country, coded",A code representing the country address of the authorizing entity.,a2
IMO1089,Person certificate authorizing entity address street and number,The street and number of the authorizing address entity.,an..256
IMO1090,Person certificate authorizing entity email,The email address for the authorizing entity.,an..50
IMO1091,Person certificate authorizing entity landline number,The landline telephone number for the authorizing entity.,an..50
IMO1092,Person certificate authorizing entity website,The official website of the authorizing entity.,an..50
IMO1093,Person certificate authorizing entity contact family name,The family name of the contact who is entitled to sign for the authorizing entity.,an..70
IMO1094,Person certificate authorizing entity contact given name,The given name of the contact entitled to sign for the authorizing entity.,an..70
IMO1095,Person certificate authorizing entity contact digital identifier,The digital identifier of contact at the entity who is entitled to sign for the authorizing entity.,an..35
IMO1096,Person certificate authorizing entity contact email,"The email address for the contact, entitled to sign for the authorizing entity.",an..50
IMO1097,Person certificate authorizing entity contact landline number,The landline telephone number for the contact entitled to sign for the authorizing entity.,an..50
IMO1098,Person certificate authorizing entity contact mobile number,The mobile number for the contact entitled to sign for the authorizing entity.,an..50
IMO1099,Person certificate authorizing entity logo,The logo of the authorizing entity.,Binary Object
IMO1100,"Person certificate accreditation body, coded",The code representing the type of accreditation body who supervise the quality of maritime training institutes.,a3
IMO1101,Person certificate accreditation body name,The name of the accreditation body who supervises the quality of maritime training institutes.,an..70
IMO1102,Person certificate accreditation body digital identifier,The digital identifier of the accreditation body who supervises the quality of maritime training institutes.,an..35
IMO1104,Person certificate accreditation body address postcode,An alphanumerical code representing the postal area of the accreditation body who supervises the quality of maritime training institutes.,an..9
IMO1105,Person certificate accreditation body address city,The city of the accreditation body who supervises the quality of maritime training institutes.,an..35
IMO1106,Person certificate accreditation body address country code,The code representing the country of the accreditation body who supervises the quality of maritime training institutes.,a2
IMO1107,Person certificate accreditation body address street and number,The street and number of the accreditation body who supervises the quality of maritime training institutes.,an..256
IMO1108,Person certificate accreditation body email,The email address of the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO1109,Person certificate accreditation body landline number,The landline telephone number of the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO1110,Person certificate accreditation body website,The official website of the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO1111,Person certificate accreditation body contact family name,The family name of the contact person at the accreditation body who supervises the quality of maritime training institutes.,an..70
IMO1112,Person certificate accreditation body contact given name,The given name of the contact person at the accreditation body who supervises the quality of maritime training institutes.,an..70
IMO1113,Person certificate accreditation body contact digital identifier,The digital identifier of the contact person at the accreditation body who supervises the quality of maritime training institutes.,an..35
IMO1114,Person certificate accreditation body contact email,The email address of the contact person at the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO1115,Person certificate accreditation body contact landline number,The landline telephone number of the contact person at the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO1116,Person certificate accreditation body contact mobile number,The mobile number of the contact person at the accreditation body who supervises the quality of maritime training institutes.,an..50
IMO1117,"Person certificate verification entity, coded",The code representing the type of entity that provides verification of the authenticity and validity of the person certificate.,a3
IMO1118,Person certificate verification entity name,The name of the entity who has verified the person certificate.,an..70
IMO1119,Person certificate verification entity digital identifier,The digital identifier of the verification entity of the person certificate.,an..35
IMO1121,Person certificate verification entity address postcode,An alphanumerical code representing the postal area of the person certificate verification entity.,an..9
IMO1122,Person certificate verification entity address city,The city of the verification entity address.,an..35
IMO1123,Person certificate verification entity address country code,A code representing the country of the verification entity address.,a2
IMO1124,Person certificate verification entity address street and number,The street and number of the verification entity address.,an..256
IMO1125,Person certificate verification entity email,The email address for the verification entity.,an..50
IMO1126,Person certificate verification entity landline number,The landline telephone number for the verification entity.,an..50
IMO1127,Person certificate verification entity website,The official website of the verification entity.,an..50
IMO1128,Person certificate verification entity contact family name,The family name of the person certificate verification entity contact.,an..70
IMO1129,Person certificate verification entity contact given name,The given name of the person certificate verification entity contact.,an..70
IMO1130,Person certificate verification entity contact digital identifier,The digital identifier of contact at the entity who has verified the person certificate.,an..35
IMO1131,Person certificate verification entity contact email,The email address for the person certificate verification entity contact.,an..50
IMO1132,Person certificate verification entity contact landline number,The landline telephone number for the person certificate verification entity contact.,an..50
IMO1133,Person certificate verification entity contact mobile number,The mobile number for the person certificate verification entity contact.,an..50
IMO1134,Ship company email,The email address for the ship company.,an..50
IMO1135,Ship company landline number,The landline telephone number for the ship company.,an..50
IMO1136,Ship company website,The official website of the ship company.,an..50
IMO1137,Ship company contact family name,The family name of for the contact person at the ship company.,an..70
IMO1138,Ship company contact given name,The given name of the contact person at the ship company.,an..70
IMO1139,Ship company contact digital identifier,The digital identifier for the contact person at the ship company.,an..35
IMO1140,Ship company contact email,The email address for the contact person at the ship company.,an..50
IMO1141,Ship company contact landline number,The landline telephone number for the contact person at the ship company.,an..50
IMO1142,Ship company contact mobile number,The mobile number for the contact person at the ship company.,an..50
IMO1143,Ship manager IMO Company number,The unique company identification number of the ship manager [shown in the Continuous Synopsis Record (CSR)].,an..17
IMO1144,Ship manager name,The name of the ship manager.,an..70
IMO1145,Ship manager identifier,The identifier to be provided by the sender of the data when the company does not have an IMO identification number.,an..17
IMO1146,Ship manager digital identifier,The digital identifier of the ship manager.,an..35
IMO1147,Ship manager HQ city,The city of the ship manager headquarter location.,an..35
IMO1148,Ship manager HQ country code,A code representing the country where the ship manager headquarter is located.,a2
IMO1149,Ship manager region covered,The regions and ports covered by the ship manager.,an..70
IMO1150,Ship manager street and number,The street and number of the referenced ship manager.,an..256
IMO1151,Ship manager postcode,An alphanumerical code representing the postal area of the referenced manager.,an..9
IMO1152,Ship manager city,The city of the referenced manager.,an..35
IMO1153,Ship manager country code,A code representing the country address of the referenced manager.,a2
IMO1154,Ship manager email,The email address for the ship manager.,an..50
IMO1155,Ship manager landline number,The landline telephone number for the ship manager,an..50
IMO1156,Ship manager website,,
IMO1157,Ship manager contact family name,The family name of for the contact person at the ship manager.,an..70
IMO1158,Ship manager contact given name,The given name of the contact person at the ship manager.,an..70
IMO1159,Ship manager contact digital identifier,The digital identifier for the contact person at the ship manager.,an..35
IMO1160,Ship manager contact email,The email address for the contact person at the ship manager.,an..50
IMO1161,Ship manager contact landline number,The landline telephone number for the contact person at the ship manager.,an..50
IMO1162,Ship manager contact mobile number,The mobile number for the contact person at the ship manager.,an..50
IMO1163,Observation internal identifier,An internal identifier created by the ship operator for a station (device) prior to assignment of a SOT – ID.,an..35
IMO1164,Ship Observations Team Identifier (SOT – ID),"Identifier used in submissions to Observing Systems Capability Analysis and Review tool (OSCAR) and Global Telecommunication System (GTS/WIS 2), provided by OceanOPS and supports the maintenance of metadata inventories for all marine stations).",an..7
IMO1165,"Model Main Station, coded",A code representing the model of the device used to take the observation.,n..3
IMO1166,"Model Main Station, name","Name of the model of the device used to take the observation, if not available via code.",an..35
IMO1167,"Telecom type, coded",A code representing the type of telecommunications used in the transmission of the observation.,an..8
IMO1168,"Telecom type, name",Name of the type of telecommunications used in the transmission of the observation,an..35
IMO1169,Observation start date time,The date and time that observations began to be transmitted from the (station).,an..35
IMO1170,"Sensor make and model, coded",A code representing the make and model of the sensor used for the observation.,n..3
IMO1171,"Sensor make and model, name","The name of the make and model of the sensor used for the observation, if not available via code.",an..35
IMO1172,Sensor height,"The sensor height above sea surface in meters, to the nearest tenth meter.","n..3,1"
IMO1173,"Sensor location, coded",A code representing the location of the sensor used for the observation.,n..3
IMO1174,"Sensor location, name","The name of the location of the sensor used for the observation, if not available via code.",an..35
IMO1175,Sea surface temperature,The measure of sea temperature in degrees Celsius.,"n..3,1"
IMO1176,Relative humidity,"The measure of water vapor in the atmosphere relative to the temperature of the air, expressed as a percentage.",n..3
IMO1177,Sea surface salinity,The measure of sea surface salinity in practical salinity units (PSU).,"n..5,3"
IMO1178,Sea ice extent,"An estimate of the sea ice concentration in a specified oceanic area, expressed as a percentage, derived from human observation.",n..3
IMO1179,"Mail category, coded",The category of the mail being documented.,a1
IMO1180,Number of letter-post receptacles,The number of receptacles containing letter-post items included in the mail dispatch.,n..5
IMO1181,Number of postal parcels receptacles and loose parcels,The number of receptacles containing postal parcels (CP) and the number of loose parcels included in the mail dispatch.,n..5
IMO1182,Number of sacks of empty bags,The number of receptacles consisting of sacks of empty mailbags returned in the mail dispatch.,n..5
IMO1183,Gross weight of letter posts,"The weight of the letter post receptacles for the mail class in this consignment,expressedin kilograms. It is the sum of receptacle weights all kept with a precision of 0.1 kg.","n..5,1"
IMO1184,Gross weight of parcel,"The weight of the parcel receptacles for the mail class in this consignment, expressed in kilograms. It is the sum of receptacle weights all kept with a precision of 0.1 kg.","n..5,1"
IMO1185,Gross weight of empty receptacle,"The weight of the empty receptacles for the mail class in this consignment, expressed in kilograms. It is the sum of receptacle weights all kept with a precision of 0.1 kg.","n..5,1"
IMO1186,Observations,Free-text field used to provide complementary information or remarks regarding the consignment as recorded in the CN37 observation field.,an..512
IMO1187,Cargo indicator,"A “yes/no” indicator specifying whether the ship is carrying cargo, whether laden or unladen at the time of inspection.",n1
IMO1188,Cargo gross weight,"The total gross weight, in metric tonnes, of cargo carried on board the ship at the time of inspection, if applicable.",n..7
IMO1189,"Result of inspection, coded",The result of the SSC inspection.,n2
IMO1190,Result of inspection description,Description of the result of the SSC inspection.,an..256
IMO1191,SSC extension expiration date,Date of expiry of the provided extension.,an..35
IMO1192,Port of extension name,Name of the port of extension of the existing certificate.,an..256
IMO1193,"Port of extension, coded",A code representing the port of extension of the existing certificate.,an5
IMO1194,SSC extension provided date,Date that an extension of the existing certificate was provided.,an..35
IMO1195,Inspecting officer given name,The given name of the ship’s inspecting officer.,an..70
IMO1196,Inspecting officer family name,The Last Name of the ship’s inspecting officer.,an..70
IMO1197,Inspecting office city,The city of the inspecting officer.,an..35
IMO1198,Inspecting office country code,A code representing the country address of the inspecting officer.,a2
IMO1199,Inspecting office postcode,An alphanumerical code representing the postal area of the inspecting officer.,an..9
IMO1200,Inspecting office street and number,The street and number of the inspecting officer.,an..256
IMO1201,Inspected area name,Name of the inspected area.,an..256
IMO1202,"Inspected area, coded",A code representing the inspected area.,an..4
IMO1203,"Public health evidence found, coded",A code representing whether public health evidence was found in the inspected area.,n1
IMO1204,Public health evidence found comments,Comments on public health evidence found in the inspected area.,an..512
IMO1205,"Sample type, coded",A code representing the type of samples taken on board.,an3
IMO1206,"Sample type, text",A text describing the sample type.,an..512
IMO1207,"Sample results, coded",A code representing results from samples taken on board.,n1
IMO1208,Control measures applied indicator,An indicator representing whether control measures have been applied for the finding.,n1
IMO1209,Control measures applied comments,Notes or observations regarding the control measures that have been implemented.,an..512
IMO1210,Re-inspection date remarks,Remarks regarding the date of the next re-inspection.,an..70
IMO1211,Comments regarding conditions found,A narrative description of observations and remarks regarding conditions identified during the ship sanitation inspection.,an..512
IMO1212,"Documents reviewed, coded",A code representing a document type reviewed by the inspector for the overall inspection.,an..4
IMO1213,Documents reviewed description,Description of the reviewed document type.,an..512
IMO1214,Detected health events on board indicator,A “yes/no” indicator specifying whether health events have been detected on board the conveyance at the time of inspection.,n1
IMO1215,"Evidence found, coded",A code representing the WHO checklist evidence item found during the inspection.,an..12
IMO1216,Evidence found description,"A text describing the evidence item found during the inspection, aligned with the WHO checklist entry referenced by Evidence (WHO), coded.",an..512
IMO1217,Control measures to be applied,"The control measures and corrective actions for each evidence found during the inspection, according to the checklist of the WHO “Handbook for Inspection of Ships and Issuance of Ship Sanitation Certificates”.",an..512
IMO1218,Required control measures indicator,An indicator specifying whether the control measure associated with the evidence found is mandatory according to the WHO inspection checklist.,n1
